SEC,W,MACH,AIRSPD,TEFLAPL,XIDA,T,ALTSTD,N1,PITCH
0,62704.5847,0.15,45,5,0,18.25,97,45,-0.53
1,62704.05248,0.15,45,5,0,18.25,97,45,-0.53
2,62703.1352,0.15,45,5,0,18.25,98,59,-0.53
3,62701.58691,0.15,45,5,0,18.25,100,80,-0.35
4,62699.74429,0.15,45,5,0,18.25,100,86,-0.35
5,62697.71821,0.15,45,5,0,18.25,101,89,-0.18
6,62695.63568,0.15,45,5,0,18.25,102,91,-0.35
7,62693.57734,0.15,45,5,0,18.25,102,91,-0.35
8,62691.53514,0.15,45,5,0,18.5,105,91,-0.18
9,62689.49898,0.15,47,5,0,18.5,102,91,-0.18
10,62687.47894,0.15,50,5,0,18.5,104,91,-0.18
11,62685.46698,0.15,57,5,0,18.25,109,91,-0.35
12,62683.45702,0.15,58,5,0,18.25,110,91,-0.35
13,62681.4511,0.15,61,5,0,18.25,110,91,-0.35
14,62679.45123,0.15,65,5,0,18,111,91,-0.35
15,62677.45338,0.15,68,5,0,18,107,91,-0.35
16,62675.45955,0.15,71,5,0,18.5,109,91,-0.35
17,62673.46976,0.15,80,5,0,18.75,112,91,-0.35
18,62671.47997,0.15,91,5,0,19.25,114,91,-0.35
19,62669.4801,0.151,98,5,0,19,114,91,-0.35
20,62667.48022,0.15,102,5,0,19,115,91,-0.35
21,62665.47632,0.161,100,5,0,18.75,115,91,-0.18
22,62663.47645,0.157,108,5,0,18.75,114,91,-0.35
23,62661.47456,0.176,108,5,0,18.75,116,91,-0.35
24,62659.47267,0.176,116,5,0,19.25,110,91,-0.35
25,62657.47683,0.182,117,5,0,19.75,110,91,-0.35
26,62655.47091,0.185,121,5,0,20,105,91,-0.18
27,62653.46902,0.193,124,5,0,20,113,91,-0.18
28,62651.46109,0.192,125,5,0,19.75,110,91,-0.18
29,62649.45718,0.197,129,5,0,19.75,106,91,-0.18
30,62647.45126,0.202,130,5,0,19.75,113,91,-0.18
31,62645.44534,0.208,135,5,0,20,117,91,-0.18
32,62643.43539,0.215,137,5,0,20,115,91,-0.18
33,62641.42544,0.221,145,5,0,20.5,116,91,0
34,62639.41347,0.227,148,5,0,20.5,115,91,0
35,62637.39546,0.232,150,5,2.2,20.5,113,91,0.18
36,62635.38147,0.231,153,5,3.515,20.25,108,91,0.7
37,62633.36547,0.233,153,5,2.73,20.25,112,91,1.76
38,62631.33939,0.242,157,5,1.145,20.75,114,91,3.87
39,62629.30928,0.252,160,5,0.35,20.5,117,91,5.8
40,62627.28522,0.262,168,5,1.225,20.75,114,91,6.5
41,62625.25107,0.261,175,5,1.495,21,122,91,7.91
42,62623.2129,0.261,174,5,2.725,21,137,91,10.02
43,62621.17472,0.268,174,5,3.78,21,163,91,11.78
44,62619.13654,0.265,177,5,6.07,20.75,194,91,13.54
45,62617.09635,0.268,175,5,8,20.5,233,91,14.24
46,62615.05616,0.268,177,5,9.76,20.5,278,91,14.77
47,62613.01798,0.267,178,5,11.69,20.25,332,91,14.94
48,62610.97779,0.26,174,5,11.6,20,381,91,14.94
49,62608.93962,0.261,170,5,12.035,19.75,431,91,15.64
50,62606.89942,0.27,169,5,11.78,19.75,483,91,16.17
51,62604.86125,0.271,176,5,11.685,19.5,532,91,15.64
52,62602.82509,0.265,174,5,11.69,19.5,587,91,15.47
53,62600.79296,0.261,172,5,12.135,19.5,643,91,16
54,62598.76083,0.261,172,5,12.125,19.25,698,91,16.17
55,62596.7287,0.26,170,5,11.955,19,758,91,16
56,62594.70061,0.264,168,5,12.395,18.75,814,91,15.47
57,62592.67251,0.263,172,5,11.78,18.5,868,91,15.47
58,62590.64442,0.264,172,5,12.305,18.25,925,91,15.47
59,62588.61632,0.261,174,5,9.845,18.25,978,91,16.17
60,62586.59024,0.258,169,5,14.415,18,1037,91,15.82
61,62584.57021,0.264,172,5,15.645,17.75,1101,91,16
62,62582.54816,0.264,173,5,13.89,17.75,1151,91,16.7
63,62580.52813,0.263,170,5,13.275,17.5,1201,91,16.88
64,62578.51011,0.26,170,5,12.39,17.25,1251,91,16.52
65,62576.4921,0.259,168,5,11.425,17,1305,91,16.35
66,62574.47408,0.258,168,5,12.215,17,1355,91,15.82
67,62572.4601,0.258,166,5,10.895,16.75,1404,91,15.82
68,62570.44611,0.261,167,5,11.165,16.5,1455,91,15.47
69,62568.43414,0.261,167,5,11.16,16.25,1504,91,15.29
70,62566.42218,0.258,169,5,9.49,16.25,1550,91,15.47
71,62564.41424,0.258,166,5,10.72,16.25,1607,91,15.29
72,62562.41034,0.258,166,5,11.865,16,1657,91,14.94
73,62560.41248,0.263,167,5,10.02,16,1704,91,14.94
74,62558.48317,0.264,169,5,11.865,15.75,1755,91,13.89
75,62556.57805,0.264,170,5,11.605,15.5,1800,90,13.01
76,62554.68099,0.265,170,5,10.81,15.5,1842,90,13.36
77,62552.82022,0.266,169,5,9.58,15.25,1880,90,13.36
78,62550.97357,0.264,169,5,9.93,15,1921,89,12.83
79,62549.13498,0.267,169,5,9.14,15,1957,89,12.48
80,62547.29638,0.27,172,5,8.44,15,1990,89,12.48
81,62545.45981,0.273,173,5,9.67,15,2026,89,12.13
82,62543.62525,0.271,174,5,8.525,15,2060,89,12.13
83,62541.78666,0.271,172,5,8.53,14.75,2092,89,12.13
84,62539.94605,0.269,172,5,9.14,14.75,2133,89,12.48
85,62538.10544,0.27,173,5,8.88,14.5,2164,89,11.78
86,62536.26483,0.273,172,5,7.645,14.5,2196,89,10.72
87,62534.42422,0.274,174,5,7.65,14.25,2226,89,9.67
88,62532.58362,0.277,174,4,7.64,14.25,2251,89,8.96
89,62530.74099,0.279,177,3,6.505,14.25,2273,89,8.79
90,62528.89837,0.282,178,2,5.36,14.25,2291,89,8.79
91,62527.05171,0.283,181,2,5.805,14.25,2308,90,8.44
92,62525.20707,0.288,181,1,4.655,14.25,2324,90,8.26
93,62523.3584,0.288,184,1,3.07,14.5,2339,90,8.61
94,62521.50973,0.295,184,1,4.48,14.5,2360,90,8.26
95,62519.66307,0.296,186,1,5.62,14.5,2373,90,7.73
96,62517.81642,0.296,188,1,4.84,14.5,2388,90,8.09
97,62515.96573,0.302,189,1,3.87,14.5,2407,90,8.09
98,62514.11907,0.31,193,1,4.835,14.75,2430,90,7.21
99,62512.2704,0.313,196,1,5.975,14.75,2441,90,7.03
100,62510.42173,0.313,199,1,4.83,14.75,2454,90,7.73
101,62508.56499,0.313,198,1,4.485,15,2467,90,8.09
102,62506.70624,0.324,200,1,4.575,15,2485,90,8.09
103,62504.84547,0.323,205,1,5.01,15,2500,90,7.91
104,62502.9847,0.32,203,1,4.74,15,2522,90,8.26
105,62501.12394,0.32,204,0,3.865,15,2543,90,9.14
106,62499.26115,0.322,202,0,5.1,15.25,2566,90,9.14
107,62497.39837,0.327,204,0,6.33,15,2598,90,9.14
108,62495.53357,0.332,208,0,5.975,15,2621,90,9.49
109,62493.66877,0.334,210,0,6.5,15,2648,90,9.84
110,62491.79994,0.337,211,0,6.595,15,2679,90,10.02
111,62489.9311,0.339,213,0,6.155,15,2706,90,10.37
112,62488.0663,0.336,214,0,6.77,15.25,2739,90,10.9
113,62486.2015,0.338,214,0,7.375,15.25,2780,90,11.07
114,62484.33469,0.343,214,0,7.12,15.25,2817,90,11.78
115,62482.46586,0.343,215,0,7.65,15,2855,90,11.78
116,62480.59702,0.346,217,0,7.565,15,2901,90,11.43
117,62478.72618,0.347,217,0,7.825,15,2955,90,11.43
118,62476.85936,0.348,219,0,7.735,14.75,3000,90,10.9
119,62474.98851,0.348,216,0,9.05,14.75,3048,90,10.72
120,62473.1217,0.352,218,0,9.585,14.75,3103,90,10.9
121,62471.2448,0.356,220,0,7.91,14.75,3147,90,11.6
122,62469.37395,0.357,224,0,9.585,14.75,3200,90,11.78
123,62467.50512,0.36,224,0,8.35,14.75,3251,90,12.13
124,62465.64032,0.353,226,0,8.965,14.75,3302,90,11.78
125,62463.77149,0.361,223,0,10.37,14.5,3354,90,12.13
126,62461.90669,0.364,226,0,9.575,14.5,3410,90,12.83
127,62460.03987,0.363,225,0,10.545,14.5,3467,90,12.13
128,62458.1791,0.364,226,0,10.02,14.25,3523,90,12.13
129,62456.3143,0.364,227,0,10.365,14.25,3580,90,12.3
130,62454.45354,0.366,226,0,10.02,14,3639,90,12.48
131,62452.59277,0.365,227,0,10.64,14,3697,90,12.66
132,62450.73805,0.363,227,0,10.545,13.75,3755,90,12.83
133,62448.88131,0.365,224,0,10.46,13.5,3819,90,13.01
134,62447.02861,0.365,226,0,11.335,13.25,3881,91,12.83
135,62445.1759,0.365,226,0,10.9,13.25,3942,91,12.48
136,62443.32723,0.37,225,0,11.16,13,4008,91,12.3
137,62441.48058,0.367,228,0,10.545,13,4064,91,12.13
138,62439.63594,0.368,226,0,10.635,13,4120,90,12.13
139,62437.79533,0.371,226,0,10.46,12.75,4181,91,11.95
140,62435.95472,0.37,227,0,10.365,12.75,4238,91,11.95
141,62434.12016,0.373,227,0,10.985,12.5,4295,90,11.95
142,62432.28963,0.375,229,0,9.84,12.5,4349,90,12.13
143,62430.46314,0.372,228,0,11.255,12.25,4407,90,11.78
144,62428.64067,0.372,227,0,9.835,12.25,4460,90,12.3
145,62426.82022,0.372,227,0,11.075,12,4517,91,12.13
146,62424.99978,0.373,227,0,10.72,11.75,4574,91,12.3
147,62423.17933,0.372,227,0,10.725,11.75,4628,91,12.13
148,62421.3609,0.375,227,0,10.11,11.5,4683,91,12.13
149,62419.54246,0.377,230,0,9.93,11.25,4739,91,11.95
150,62417.7321,0.374,229,0,10.015,11.25,4791,90,11.95
151,62415.92374,0.373,227,0,10.815,11.25,4847,90,12.13
152,62414.11338,0.373,227,0,10.635,11,4907,91,12.48
153,62412.30704,0.375,227,0,9.925,10.75,4962,91,12.3
154,62410.50675,0.374,227,0,9.935,10.5,5017,91,11.78
155,62408.70848,0.375,226,0,9.845,10.5,5073,91,11.78
156,62406.91222,0.379,227,0,10.025,10.25,5134,91,11.78
157,62405.11798,0.377,228,0,10.9,10.25,5191,91,11.6
158,62403.32979,0.382,229,0,10.015,10,5245,91,11.95
159,62401.53958,0.382,230,0,10.465,10,5302,91,11.78
160,62399.75542,0.38,229,0,10.455,9.75,5358,90,11.95
161,62397.97328,0.379,228,0,8.965,9.75,5411,91,11.95
162,62396.19114,0.377,227,0,10.55,9.5,5471,91,11.78
163,62394.41302,0.382,227,0,10.72,9.25,5526,91,11.95
164,62392.6329,0.383,229,0,9.935,9,5581,91,11.78
165,62390.85478,0.382,228,0,10.635,9,5639,91,11.6
166,62389.08474,0.386,230,0,9.76,8.75,5695,91,11.78
167,62387.31469,0.383,230,0,11.25,8.75,5752,91,11.95
168,62385.54666,0.384,230,0,10.195,8.5,5802,91,12.13
169,62383.78064,0.386,229,0,9.4,8.5,5856,91,11.95
170,62382.01664,0.386,230,0,10.105,8.5,5912,91,11.6
171,62380.25667,0.388,230,0,9.405,8.25,5965,91,11.78
172,62378.49469,0.388,230,0,9.935,8,6026,91,11.78
173,62376.73674,0.388,230,0,9.67,8,6083,91,11.78
174,62374.9808,0.382,232,0,9.665,8,6137,91,11.95
175,62373.22285,0.385,228,0,9.67,7.75,6198,91,11.6
176,62371.47094,0.38,229,0,9.14,7.5,6251,91,11.43
177,62369.71702,0.384,223,0,8.7,7.25,6309,91,11.25
178,62367.9631,0.389,228,0,7.47,7,6365,91,10.9
179,62366.21322,0.391,229,0,9.14,6.75,6422,91,10.37
180,62364.46938,0.388,229,0,8.345,6.75,6475,91,10.72
181,62362.72352,0.391,230,0,9.32,6.75,6530,91,10.55
182,62360.9817,0.387,229,0,7.295,6.75,6587,91,10.9
183,62359.24189,0.384,227,0,8.09,6.5,6644,91,10.55
184,62357.5041,0.385,224,0,7.915,6.25,6703,91,10.55
185,62355.76832,0.384,226,0,10.195,6,6763,91,10.02
186,62354.03658,0.388,226,0,7.035,5.75,6808,91,10.02
187,62352.30483,0.388,227,0,7.995,5.75,6859,91,8.96
188,62350.5751,0.394,229,0,7.91,5.5,6906,91,8.79
189,62348.84739,0.394,230,0,5.8,5.5,6949,91,8.96
190,62347.1217,0.391,228,0,6.065,5.5,6988,91,8.09
191,62345.39802,0.395,229,0,6.155,5.25,7030,91,8.09
192,62343.67232,0.393,232,0,6.765,5.25,7068,91,7.73
193,62341.95066,0.4,228,0,6.77,5.25,7104,91,7.56
194,62340.23101,0.405,232,0,5.455,5.25,7136,91,7.21
195,62338.51136,0.401,235,0,5.095,5.5,7169,91,6.5
196,62336.79776,0.407,235,0,6.15,5.5,7201,91,6.15
197,62335.08013,0.408,237,0,5.005,5.25,7223,91,6.15
198,62333.36451,0.41,238,0,5.185,5.25,7248,91,5.8
199,62331.6489,0.414,239,0,4.66,5.25,7269,91,5.8
200,62329.9353,0.421,244,0,4.31,5.5,7289,91,5.63
201,62328.2217,0.422,245,0,4.225,5.75,7307,91,5.98
202,62326.50608,0.431,245,0,4.395,5.75,7329,91,6.68
203,62324.78845,0.433,250,0,5.18,6,7359,91,7.38
204,62323.0809,0.431,251,0,6.68,6.75,7397,91,8.09
205,62321.36931,0.433,251,0,6.85,6.75,7434,91,8.96
206,62319.6537,0.438,252,0,7.645,6.5,7469,91,9.14
207,62317.94211,0.444,254,0,7.825,6.5,7514,91,9.67
208,62316.23053,0.448,257,0,8.435,6.75,7571,91,9.84
209,62314.51894,0.44,259,0,6.066,7.5,7628,91,10.55
210,62312.81139,0.439,255,0,6.066,8.5,7684,91,11.43
211,62311.10182,0.444,254,0,5.958,8.75,7749,91,11.6
212,62309.38621,0.456,254,0,6.279,8,7819,91,11.43
213,62307.67059,0.444,257,0,6.381,8,7888,91,11.6
214,62305.95699,0.444,256,0,6.648,8.25,7959,91,12.13
215,62304.24742,0.444,255,0,7.068,8,8033,91,12.13
216,62302.53786,0.445,254,0,6.645,8.25,8104,91,11.95
217,62300.82829,0.448,254,0,7.38,8.25,8187,91,11.6
218,62299.12074,0.446,256,0,7.491,8.5,8259,92,11.78
219,62297.4152,0.449,257,0,6.279,8.25,8324,91,11.78
220,62295.70765,0.445,255,0,7.122,7.75,8398,92,11.78
221,62294.0001,0.448,253,0,6.96,7.25,8476,92,12.3
222,62292.29456,0.448,255,0,7.332,6.75,8551,92,12.13
223,62290.59507,0.441,253,0,7.539,6.75,8623,92,12.3
224,62288.89558,0.44,250,0,6.858,6.75,8697,92,12.66
225,62287.20819,0.438,249,0,7.119,7,8770,92,12.13
226,62285.52685,0.436,247,0,6.909,7.25,8841,92,11.78
227,62283.84954,0.435,246,0,6.804,7.25,8916,92,11.25
228,62282.17222,0.434,245,0,6.54,7.25,8980,92,10.9
229,62280.49491,0.435,245,0,6.33,7.25,9042,92,10.55
230,62278.82365,0.436,245,0,5.958,7,9104,92,10.02
231,62277.15238,0.435,245,0,5.85,7,9161,92,9.84
232,62275.48112,0.437,246,0,5.589,6.75,9216,92,9.67
233,62273.80986,0.437,245,0,5.487,6.75,9267,92,9.67
234,62272.14061,0.438,245,0,5.43,6.75,9324,92,9.84
235,62270.47338,0.437,245,0,5.43,6.75,9377,92,9.84
236,62268.81018,0.443,247,0,5.535,6.5,9432,92,9.84
237,62267.14698,0.443,247,0,5.538,6.25,9490,92,10.02
238,62265.48378,0.441,248,0,5.802,6,9549,92,10.2
239,62263.82259,0.439,245,0,5.961,5.75,9605,92,10.55
240,62262.16544,0.438,244,0,6.009,5.5,9665,92,10.72
241,62260.50829,0.437,244,0,6.066,5.25,9723,92,10.55
242,62258.85718,0.436,243,0,6.171,5,9781,92,10.37
243,62257.20608,0.435,241,0,5.961,5,9840,92,10.2
244,62255.55901,0.436,241,0,5.799,5,9893,92,9.84
245,62253.9079,0.435,241,0,5.538,5,9944,92,9.32
246,62252.26486,0.435,240,0,5.379,5,9993,92,9.14
247,62250.62384,0.435,240,0,5.163,5.25,10042,92,8.96
248,62248.9808,0.436,240,0,8.255,5.25,10085,92,8.61
249,62247.33978,0.436,241,0,8.175,5.25,10127,92,8.44
250,62245.69875,0.437,241,0,7.905,5,10170,92,8.26
251,62244.05773,0.439,241,0,7.385,5,10208,92,8.09
252,62242.41872,0.441,242,0,7.3,4.75,10246,92,8.09
253,62240.7777,0.443,243,0,7.3,4.75,10289,92,8.09
254,62239.13667,0.444,244,0,7.645,4.75,10328,92,8.26
255,62237.49565,0.444,244,0,7.995,4.5,10368,92,8.61
256,62235.85462,0.447,245,0,8.435,4.5,10410,92,8.96
257,62234.2136,0.448,245,0,8.525,4.5,10450,92,9.14
258,62232.57056,0.446,245,0,8.7,4.5,10491,92,9.14
259,62230.92954,0.446,244,0,8.795,4.5,10532,93,9.32
260,62229.28851,0.447,244,0,8.525,4.75,10576,93,9.14
261,62227.64547,0.448,245,0,8.52,4.75,10618,93,8.96
262,62226.00243,0.45,245,0,8.345,4.75,10660,93,8.96
263,62224.36141,0.452,246,0,8.26,5,10705,93,8.79
264,62222.71635,0.454,247,0,8.175,5.5,10746,93,8.79
265,62221.0713,0.454,248,0,8.085,5.5,10787,93,8.79
266,62219.42221,0.456,247,0,8.085,5.75,10833,93,8.79
267,62217.7711,0.456,248,0,8.265,5.75,10878,93,8.79
268,62216.12202,0.456,248,0,8.35,5.75,10924,93,8.79
269,62214.47091,0.456,248,0,8.265,5.75,10973,93,8.79
270,62212.81779,0.457,248,0,8.435,5.5,11019,93,8.79
271,62211.16266,0.459,248,0,8.435,5.5,11067,93,8.61
272,62209.51155,0.459,249,0,8.435,5.5,11113,93,8.61
273,62207.85642,0.46,249,0,8.345,5.5,11163,93,8.61
274,62206.19926,0.461,249,0,8.435,5.25,11210,93,8.79
275,62204.54614,0.462,249,0,8.435,5.25,11259,93,8.79
276,62202.89101,0.462,249,0,8.435,5,11310,93,8.79
277,62201.23386,0.464,249,0,8.615,5,11359,93,8.79
278,62199.57872,0.464,250,0,8.875,4.75,11409,93,8.61
279,62197.9256,0.464,250,0,8.705,4.75,11458,94,8.44
280,62196.27046,0.465,250,0,8.525,4.75,11505,94,8.26
281,62194.61533,0.467,250,0,8.265,4.5,11549,94,7.91
282,62192.96019,0.466,251,0,8.085,4.5,11595,94,7.73
283,62191.30506,0.467,250,0,7.825,4.5,11635,94,7.56
284,62189.6479,0.47,251,0,7.645,4.75,11675,94,7.38
285,62187.99075,0.471,252,0,7.385,4.75,11713,94,7.03
286,62186.33562,0.472,253,0,7.555,4.75,11752,94,7.03
287,62184.67645,0.474,253,0,7.3,4.75,11787,94,6.86
